date	barCode	description	sellingPrice	landingPrice	quantity	partyName	withBox
06 Jul 2021	6922	MIDDY	1870	1171	2	GC	0
06 Jul 2021	6923	MIDDY	1350	844	1	GC	0
06 Jul 2021	6924	MIDDY	1480	919	3	GC	0
06 Jul 2021	6925	SHIRT	600	447	9	RK	1
06 Jul 2021	6926	PANT	800	674	35	RK	0
06 Jul 2021	6927	BOYS PANT	900	754	21	RK	0
06 Jul 2021	6928	AVON LEGGIN	390	315	68	CH	0
06 Jul 2021	6929	ANKEL LEGIN XL	350	207	28	CH	0
06 Jul 2021	6930	ANKEL LEGIN XL	190	144	14	CH	0
06 Jul 2021	6931	ANKEL LEGIN 	390	315	1	CH	0
06 Jul 2021	6932	BOYS SHIRT	370	233	28	CH	0
06 Jul 2021	6933	ANKEL LEGIN XL	220	132	15	BG	0
06 Jul 2021	6935	KIDS WEAR	1250	737	1	MH	0
06 Jul 2021	6936	SHIRT	690	403	13	MR	0
06 Jul 2021	6937	SHIRT	580	365	13	MR	0
06 Jul 2021	6938	SHIRT	490	308	28	MR	0
06 Jul 2021	6939	SHIRT	560	327	14	MR	0
06 Jul 2021	6940	SHIRT	580	340	5	MR	0
06 Jul 2021	6941	SHIRT	550	321	9	MR	0
06 Jul 2021	6942	SHIRT	510	302	78	MR	0
06 Jul 2021	6943	BOYS SHIRT	470	277	13	MR	0
06 Jul 2021	6944	JEGGINGS PANT	650	834	2	CH	0
06 Jul 2021	6945	DHOTI PANT	200	119	5	B	0
06 Jul 2021	6948	CHUDI	1880	1107	4	bg	0
06 Jul 2021	6949	CHUDI	1690	994	3	BG	0
06 Jul 2021	6950	CHUDI	1560	919	2	BG	0
06 Jul 2021	6951	CHUDI	1810	1067	2	BG	0
06 Jul 2021	6952	CHUDI	1880	1107	2	BG	0
06 Jul 2021	6953	CHUDI	2240	1316	4	BG	0
06 Jul 2021	6954	CHUDI	1630	960	3	BG	0
06 Jul 2021	6955	CHUDI	1600	942	2	BG	0
06 Jul 2021	6956	CHUDI	1740	1026	3	BG	0
06 Jul 2021	6957	CHUDI	1670	980	3	BG	0
06 Jul 2021	6958	CHUDI	1940	1141	2	BG	0
06 Jul 2021	6959	CHUDI	1740	1026	3	BG	0
